campaign_name,adset_name,ad_name,channel,attributed,orders,attributed_orders,total_sales,total_cogs,spend,net_profit,roas,ctr,conversion_rate,avg_order_value,profit_margin,impressions,clicks,all_skus,total_unique_skus,total_sku_quantity
TH-068-WILD – DUP,Adventure Trekkers,TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,237.53,-237.53,0.0,0.6514657980456027,0.0,0.0,0.0,921.0,6.0,,0.0,0.0
TH-072-AEROPOD,Urban Pet Parents,TH-072-AEROPOD_ET113_IM253,Unknown,True,0.0,0.0,0.0,0.0,311.18,-311.18,0.0,0.3811944091486658,0.0,0.0,0.0,1574.0,6.0,,0.0,0.0
TH-068-WILD – DUP,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,238.07999999999998,-238.07999999999998,0.0,1.729106628242075,0.0,0.0,0.0,694.0,12.0,,0.0,0.0
TH-072-AEROPOD,Frequent Travellers,TH-072-AEROPOD_ET113_IM253,Unknown,True,0.0,0.0,0.0,0.0,220.16,-220.16,0.0,0.8874098724348309,0.0,0.0,0.0,1803.0,16.0,,0.0,0.0
TH-072-AEROPOD,ICP Pet Parent,TH-072-AEROPOD_ET113_IM253,Unknown,True,0.0,0.0,0.0,0.0,119.66000000000001,-119.66000000000001,0.0,0.5324813631522897,0.0,0.0,0.0,939.0,5.0,,0.0,0.0
TH-053-JACKET – Alt Twin,Tier 2 & 3 Pet Parents,TH-053-JACKET_ET156_IM259,Unknown,True,0.0,0.0,0.0,0.0,1093.8,-1093.8,0.0,1.4684045537040094,0.0,0.0,0.0,6061.0,89.0,,0.0,0.0
TH-075-NAPDEN,ICP Pet Parent,TH-075-NAPDEN_SI223_VP031,Unknown,True,0.0,0.0,0.0,0.0,354.40999999999997,-354.40999999999997,0.0,2.7027027027027026,0.0,0.0,0.0,555.0,15.0,,0.0,0.0
TH-012-SNUGBOO- Alternate Twin,Tier 2 Pet Parents,TH-012-SNUGBOO,Unknown,True,0.0,0.0,0.0,0.0,106.07,-106.07,0.0,2.307692307692308,0.0,0.0,0.0,520.0,12.0,,0.0,0.0
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-068-WILD_Static,Unknown,True,0.0,0.0,0.0,0.0,1035.3799999999999,-1035.3799999999999,0.0,1.6120066703724294,0.0,0.0,0.0,1799.0,29.0,,0.0,0.0
TH-012-SNUGBOO- Alternate Twin,Luxury Spenders,TH-012-SNUGBOO,Unknown,True,0.0,0.0,0.0,0.0,696.73,-696.73,0.0,2.287968441814596,0.0,0.0,0.0,2535.0,58.0,,0.0,0.0
TH-012-SNUGBOO- Alternate Twin,Remarketing,TH-012-SNUGBOO,Unknown,True,0.0,0.0,0.0,0.0,182.96,-182.96,0.0,2.1158129175946545,0.0,0.0,0.0,898.0,19.0,,0.0,0.0
TH-073-SMARTSIP – Life Time,Remarketing,TH-073-SMARTSIP_ET104_TM066,Unknown,True,0.0,0.0,0.0,0.0,132.05,-132.05,0.0,0.8888888888888888,0.0,0.0,0.0,900.0,8.0,,0.0,0.0
TH-075-NAPDEN,Urban Pet Parents,TH-075-NAPDEN_SI223_VP031,Unknown,True,0.0,0.0,0.0,0.0,356.96,-356.96,0.0,2.781844802342606,0.0,0.0,0.0,683.0,19.0,,0.0,0.0
TH - E2 RPP - Video - India - IG & FB - Sales - 04/05/2025,"S8L0 - E2 - Ad Set 2 (Dog Groomer, Animal welfare (social cause), Dog daycare)",TH-036FMB-ET101-SI210-ET137-ET139 – Copy,Unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
TH-002-SKMISH,Social Engagers,TH-002-SKMISH_VP012_TM060,Unknown,True,0.0,0.0,0.0,0.0,266.25,-266.25,0.0,0.5586592178770949,0.0,0.0,0.0,537.0,3.0,,0.0,0.0
TH-073-SMARTSIP – Life Time,Urban Pet Parents,TH-073-SMARTSIP_ET104_TM066,Unknown,True,0.0,0.0,0.0,0.0,94.69,-94.69,0.0,1.9230769230769231,0.0,0.0,0.0,624.0,12.0,,0.0,0.0
TH-073-SMARTSIP – Life Time,Cat Lover,TH-073-SMARTSIP_ET104_TM066,Unknown,True,0.0,0.0,0.0,0.0,162.56,-162.56,0.0,1.795063575168287,0.0,0.0,0.0,1337.0,24.0,,0.0,0.0
TH-068-WILD,Urban Pet Parents,TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,376.16,-376.16,0.0,1.7827298050139277,0.0,0.0,0.0,1795.0,32.0,,0.0,0.0
TH-068-WILD,ICP Pet Parent,TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,550.69,-550.69,0.0,1.68718650250798,0.0,0.0,0.0,2193.0,37.0,,0.0,0.0
TH-068-WILD,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,2665.14,-2665.14,0.0,1.500890358687357,0.0,0.0,0.0,7862.0,118.0,,0.0,0.0
TH-071-SUMMERMAT,Urban Pet Parents,TH-071-SUMMERMAT_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
TH-071-SUMMERMAT,ICP Pet Parent,TH-071-SUMMERMAT_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,408.32,-408.32,0.0,3.864734299516908,0.0,0.0,0.0,621.0,24.0,,0.0,0.0
TH-071-SUMMERMAT,Tier 2 & 3 Pet Parents,TH-071-SUMMERMAT_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,444.98,-444.98,0.0,2.37741456166419,0.0,0.0,0.0,673.0,16.0,,0.0,0.0
TH-056-UMB,Urban Pet Parents,TH-056-UMB_ET139_VP007,Unknown,True,0.0,0.0,0.0,0.0,251.13,-251.13,0.0,2.3980815347721824,0.0,0.0,0.0,417.0,10.0,,0.0,0.0
TH-056-UMB,Tier 2 & 3 Pet Parents,TH-056-UMB_ET139_VP007,Unknown,True,0.0,0.0,0.0,0.0,1538.1,-1538.1,0.0,2.567287784679089,0.0,0.0,0.0,4830.0,124.0,,0.0,0.0
TH-002-SKMISH,Professionals Pet Parents,TH-002-SKMISH_VP012_TM060,Unknown,True,0.0,0.0,0.0,0.0,215.23000000000002,-215.23000000000002,0.0,0.43668122270742354,0.0,0.0,0.0,458.0,2.0,,0.0,0.0
TH-038-PAWTR,Grooming Conscious Females,TH-038-PAWTR_ET108_ET129,Unknown,True,0.0,0.0,0.0,0.0,562.36,-562.36,0.0,1.9246861924686192,0.0,0.0,0.0,1195.0,23.0,,0.0,0.0
TH-038-PAWTR,ICP Pet Parent,TH-038-PAWTR_ET108_ET129,Unknown,True,0.0,0.0,0.0,0.0,14.36,-14.36,0.0,10.0,0.0,0.0,0.0,50.0,5.0,,0.0,0.0
TH-068-WILD – HARDSCALE,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,Unknown,True,0.0,0.0,0.0,0.0,2275.74,-2275.74,0.0,1.2342941611234293,0.0,0.0,0.0,13530.0,167.0,,0.0,0.0
TH-068-WILD ADV+,1MHO - Adv+ (Exc. Purchases (30D)),TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,1157.1799999999998,-1157.1799999999998,0.0,2.1004566210045663,0.0,0.0,0.0,1095.0,23.0,,0.0,0.0
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-012-SNUGBOO_NT101_NT203 – Copy,Unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
TH-068-WILD - Alternate Twin,Remarketing,TH-068-WILD_VP001_ET101,Unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
TH-002-SKMISH,Wellness Buyers,TH-002-SKMISH_VP012_TM060,Unknown,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
TH-053-JACKET – Life Time,Backpacking,TH-053-JACKET_ET156_IM259,Unknown,True,0.0,0.0,0.0,0.0,760.43,-760.43,0.0,1.6454749439042633,0.0,0.0,0.0,1337.0,22.0,,0.0,0.0
TH-073-SMARTSIP – Life Time,ICP Pet Parent,TH-073-SMARTSIP_ET104_TM066,Unknown,True,0.0,0.0,0.0,0.0,160.48,-160.48,0.0,3.0235162374020157,0.0,0.0,0.0,893.0,27.0,,0.0,0.0
TH-053-JACKET – Life Time,Urban Pet Parents,TH-053-JACKET_ET156_IM259,Unknown,True,0.0,0.0,0.0,0.0,567.73,-567.73,0.0,1.3001083423618636,0.0,0.0,0.0,1846.0,24.0,,0.0,0.0
