campaign_name,adset_name,ad_name,date_start,hourly_window,start_hour,end_hour,channel,impressions,clicks,spend,ctr,cpm,cpc,fb_action_onsite_web_purchase,fb_value_onsite_web_purchase,fb_roas,shopify_orders,shopify_revenue,shopify_cogs,shopify_profit,shopify_roas,shopify_conversion_rate,shopify_avg_order_value,revenue_difference,orders_difference,roas_difference,unique_skus,unique_sku_count,total_sku_quantity,utm_source,utm_medium,utm_campaign,utm_content,utm_term,order_ids,order_count
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,06:00:00 - 06:59:59,,,Instagram,40,0,4.39,0.0,109.8574,,,,,2,4897.0,1762.0,3135.0,1115.489749430524,0.0,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,19:00:00 - 19:59:59,,,Instagram,1002,15,147.31,1.497,147.02,9.8209,,,,2,4897.0,1762.0,3135.0,33.24282126128573,13.333333333333334,2448.5,,,,"TH-068-WILD-M, TH-037-MISTBRU, TH-068-WILD-XXL",3,3,ig,120226594464060783,120226594464070783,120226594464050783,120226594464070783,"gid://shopify/Order/6337227194457, gid://shopify/Order/6337257078873",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,23:00:00 - 23:59:59,,,Facebook,539,8,268.11,1.4842,497.426,33.5141,,,,2,4198.0,1352.0,2846.0,15.657752415053523,25.0,2099.0,,,,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,18:00:00 - 18:59:59,,,Facebook,0,0,0.0,,,,1.0,2199.0,0.0,2,4198.0,1577.0,2621.0,0.0,0.0,2099.0,1999.0,1.0,0.0,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,09:00:00 - 09:59:59,,,Facebook,256,11,189.75,4.2969,741.2123,17.25,,,,2,4198.0,1352.0,2846.0,22.12384716732543,18.181818181818183,2099.0,,,,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-053-JACKET – Life Time,Remarketing,TH-053-JACKET_ET156_IM259,2025-07-01,10:00:00 - 10:59:59,,,Facebook,327,5,254.67,1.5291,778.8071,50.934,,,,2,4198.0,1352.0,2846.0,16.484077433541447,40.0,2099.0,,,,"TH-053-COAT-XXXL, TH-053-COAT-S",2,2,fb,120226599037790783,120226599955750783,120226599955740783,120226599955750783,"gid://shopify/Order/6337597046873, gid://shopify/Order/6337742864473",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,12:00:00 - 12:59:59,,,Facebook,0,0,0.0,,,,,,0.0,2,4198.0,1577.0,2621.0,0.0,0.0,2099.0,,,0.0,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,14:00:00 - 14:59:59,,,Facebook,1714,20,327.82,1.1669,191.2602,16.391,,,,2,4198.0,1577.0,2621.0,12.805808065401745,10.0,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,08:00:00 - 08:59:59,,,Facebook,0,0,0.0,,,,,,0.0,2,4198.0,1577.0,2621.0,0.0,0.0,2099.0,,,0.0,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
TH-068-WILD – Life Time,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,22:00:00 - 22:59:59,,,Facebook,2150,22,336.65,1.0233,156.5814,15.3023,,,,2,4198.0,1577.0,2621.0,12.469924253675925,9.090909090909092,2099.0,,,,"TH-068-WILD-L, TH-068-WILD-XXL",2,2,facebook,paid,120226090519070783,120226090519060783,120226090519120783,"gid://shopify/Order/6337617100889, gid://shopify/Order/6337730150489",2
