campaign_name,adset_name,ad_name,date_start,hourly_window,channel,impressions,clicks,spend,shopify_orders,shopify_revenue,shopify_cogs,total_sku_quantity,utm_source,utm_medium,utm_campaign,utm_content,utm_term,order_ids
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-012-SNUGBOO_Static,2025-07-01,03:00:00 - 03:59:59,,590,7,136.46,0.0,0.0,0.0,0.0,,,,,,
TH - Remarketing - Video - India - IG & FB - Sales - 29/03/2025,AS3 - Remarketing IC (30) – New,TH-036-PAWTR-ET139-SP368,2025-07-01,03:00:00 - 03:59:59,,163,1,26.24,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,03:00:00 - 03:59:59,,18,1,1.58,0.0,0.0,0.0,0.0,,,,,,
TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,2025-07-01,03:00:00 - 03:59:59,,13,1,3.27,0.0,0.0,0.0,0.0,,,,,,
TH-056-UMB,Urban Pet Parents,TH-056-UMB_ET139_VP007,2025-07-01,03:00:00 - 03:59:59,,1,0,0.09,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD ADV+,1MHO - Adv+ (Exc. Purchases (30D)),TH-068-WILD_VP001_ET101,2025-07-01,03:00:00 - 03:59:59,,6,0,4.61,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD - Alternate Twin,Luxury Spenders,TH-068-WILD_VP001_ET101,2025-07-01,03:00:00 - 03:59:59,,10,0,1.11,0.0,0.0,0.0,0.0,,,,,,
TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,2025-07-01,03:00:00 - 03:59:59,,8,0,1.09,0.0,0.0,0.0,0.0,,,,,,
TH-063-SILBOO,Urban Pet Parents,TH-063-SILBOO,2025-07-01,03:00:00 - 03:59:59,,3,0,0.27,0.0,0.0,0.0,0.0,,,,,,
TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,2025-07-01,03:00:00 - 03:59:59,,20,0,18.58,0.0,0.0,0.0,0.0,,,,,,
TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,2025-07-01,03:00:00 - 03:59:59,,45,0,4.29,0.0,0.0,0.0,0.0,,,,,,
TH-063-SILBOO,Adventure Trekkers,TH-063-SILBOO,2025-07-01,04:00:00 - 04:59:59,,8,0,1.52,0.0,0.0,0.0,0.0,,,,,,
TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,2025-07-01,04:00:00 - 04:59:59,,43,0,3.55,0.0,0.0,0.0,0.0,,,,,,
TH-063-SILBOO,Urban Pet Parents,TH-063-SILBOO,2025-07-01,04:00:00 - 04:59:59,,7,0,0.73,0.0,0.0,0.0,0.0,,,,,,
TH-063-SILBOO,ICP Pet Parent,TH-063-SILBOO,2025-07-01,04:00:00 - 04:59:59,,12,0,2.4,0.0,0.0,0.0,0.0,,,,,,
TH-053-JACKET,ICP Pet Parent,TH-053-JACKET_ET156_IM259,2025-07-01,04:00:00 - 04:59:59,,36,0,9.33,0.0,0.0,0.0,0.0,,,,,,
TH - Remarketing - Video - India - IG & FB - Sales - 29/03/2025,AS3 - Remarketing IC (30) – New,TH-036-PAWTR-ET139-SP368,2025-07-01,04:00:00 - 04:59:59,,151,1,27.61,0.0,0.0,0.0,0.0,,,,,,
TH-056-UMB,Urban Pet Parents,TH-056-UMB_ET139_VP007,2025-07-01,04:00:00 - 04:59:59,,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,04:00:00 - 04:59:59,,12,0,6.13,0.0,0.0,0.0,0.0,,,,,,
TH-053-JACKET,Urban Pet Parents,TH-053-JACKET_ET156_IM259,2025-07-01,04:00:00 - 04:59:59,,5,0,0.76,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD,Adventure Trekkers,TH-068-WILD_VP001_ET101,2025-07-01,04:00:00 - 04:59:59,,30,0,50.45,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,04:00:00 - 04:59:59,,3,0,0.25,0.0,0.0,0.0,0.0,,,,,,
TH-053-JACKET – Alt Twin,Tier 2 & 3 Pet Parents,TH-053-JACKET_ET156_IM259,2025-07-01,04:00:00 - 04:59:59,,38,0,5.81,0.0,0.0,0.0,0.0,,,,,,
TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,2025-07-01,04:00:00 - 04:59:59,,19,1,4.85,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD,ICP Pet Parent,TH-068-WILD_VP001_ET101,2025-07-01,04:00:00 - 04:59:59,,12,0,0.6,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD ADV+,1MHO - Adv+ (Exc. Purchases (30D)),TH-068-WILD_VP001_ET101,2025-07-01,04:00:00 - 04:59:59,,6,0,12.19,0.0,0.0,0.0,0.0,,,,,,
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-012-SNUGBOO_Static,2025-07-01,04:00:00 - 04:59:59,,323,4,78.35,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD - Alternate Twin,Luxury Spenders,TH-068-WILD_VP001_ET101,2025-07-01,04:00:00 - 04:59:59,,7,0,2.17,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,2025-07-01,04:00:00 - 04:59:59,,22,0,5.12,0.0,0.0,0.0,0.0,,,,,,
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-012-SNUGBOO_Static,2025-07-01,05:00:00 - 05:59:59,,297,2,121.61,0.0,0.0,0.0,0.0,,,,,,
TH-056-UMB,Tier 2 & 3 Pet Parents,TH-056-UMB_ET139_VP007,2025-07-01,05:00:00 - 05:59:59,,1,0,0.02,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD,Adventure Trekkers,TH-068-WILD_VP001_ET101,2025-07-01,05:00:00 - 05:59:59,,45,1,4.96,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD ADV+,1MHO - Adv+ (Exc. Purchases (30D)),TH-068-WILD_VP001_ET101,2025-07-01,05:00:00 - 05:59:59,,11,0,5.84,0.0,0.0,0.0,0.0,,,,,,
TH-053-JACKET – Alt Twin,Tier 2 & 3 Pet Parents,TH-053-JACKET_ET156_IM259,2025-07-01,05:00:00 - 05:59:59,,48,0,11.47,0.0,0.0,0.0,0.0,,,,,,
TH - Adv+ Shopping-2 - Video & Image - IG & FB - India - Sales - 04/05/2025,1MHO - Adv+ (Exc. Purchases (30D)),TH-037-MISTBRU-ET101-SI210-ET137-ET139 – Copy 2,2025-07-01,05:00:00 - 05:59:59,,56,0,48.33,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD - Alternate Twin,Luxury Spenders,TH-068-WILD_VP001_ET101,2025-07-01,05:00:00 - 05:59:59,,18,0,5.33,0.0,0.0,0.0,0.0,,,,,,
TH-068-WILD - Alternate Twin,Tier 2 Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,05:00:00 - 05:59:59,,24,0,1.2,0.0,0.0,0.0,0.0,,,,,,
TH - Remarketing - Video - India - IG & FB - Sales - 29/03/2025,AS3 - Remarketing IC (30) – New,TH-036-PAWTR-ET139-SP368,2025-07-01,05:00:00 - 05:59:59,,201,1,40.52,0.0,0.0,0.0,0.0,,,,,,
